Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,"220,000","260,000","219,000","287,000","368,000","466,000","605,000","787,000","701,000","1,050,000","1,420,000","1,700,000","2,020,000","2,130,000","2,160,000","2,510,000","2,880,000","3,580,000","4,210,000","4,500,000","478,000","5,010,000","5,600,000","6,200,000","6,610,000","1,310,000"
China,"46,400,000","51,100,000","57,600,000","63,500,000","72,800,000","83,400,000","89,000,000","97,900,000","91,700,000","109,000,000","120,000,000","125,000,000","132,000,000","130,000,000","126,000,000","134,000,000","135,000,000","132,000,000","129,000,000","128,000,000","134,000,000","142,000,000","153,000,000","159,000,000","163,000,000","30,400,000"
"Hong Kong, China","10,200,000","13,000,000","11,300,000","10,200,000","11,300,000","13,100,000","13,700,000","16,600,000","15,500,000","21,800,000","23,400,000","25,300,000","28,200,000","29,500,000","29,600,000","36,000,000","41,900,000","48,600,000","54,300,000","60,800,000","59,300,000","56,700,000","58,500,000","65,100,000","55,900,000","3,570,000"
Indonesia,"4,320,000","5,030,000","5,180,000","4,610,000","4,730,000","5,060,000","5,150,000","5,030,000","4,470,000","5,320,000","5,000,000","4,870,000","5,510,000","6,230,000","6,320,000","7,000,000","7,650,000","8,040,000","8,800,000","9,440,000","10,400,000","11,500,000","14,000,000","15,800,000","16,100,000","4,050,000"
Japan,"3,350,000","3,840,000","4,220,000","4,110,000","4,440,000","4,760,000","4,770,000","5,240,000","5,210,000","6,140,000","6,730,000","7,330,000","8,350,000","8,350,000","6,790,000","8,610,000","6,220,000","8,360,000","10,400,000","13,400,000","19,700,000","24,000,000","28,700,000","31,200,000","31,900,000","4,120,000"
Laos,"346,000","403,000","463,000","500,000","614,000","737,000","674,000","736,000","636,000","895,000","1,090,000","1,220,000","1,620,000","1,740,000","2,010,000","2,510,000","2,720,000","3,330,000","3,780,000","4,160,000","4,680,000","4,240,000","3,870,000","4,190,000","4,790,000","886,000"
"Macao, China","7,750,000","8,150,000","7,000,000","6,950,000","7,440,000","9,160,00","10,300,000","11,500,000","11,900,000","16,700,000","18,700,000","22,000,000","27,000,000","22,900,000","21,800,000","25,000,000","28,000,000","28,100,000","29,300,000","31,500,000","30,700,000","30,900,000","32,600,000","35,800,000","39,400,000","5,900,000"
Malaysia,"7,470,000","7,140,000","6,210,000","5,550,000","7,930,000","10,200,000","12,800,000","13,300,000","10,600,000","15,700,000","16,400,000","17,500,000","21,000,000","22,100,000","23,600,000","24,600,000","24,700,000","25,000,000","25,700,000","27,400,000","25,700,000","26,800,000","25,900,000","25,800,000","26,100,000","4,330,000"
Mongolia,"108,000","71,000","82,000","197,000","160,000","158,000","192,000","235,000","205,000","305,000","345,000","408,000","455,000","469,000","465,000","557,000","627,000","624,000","515,000","506,000","467,000","471,000","543,000","598,000","637,000","66,900"
Myanmar,"194,000","490,000","491,000","478,000","435,000","416,000","475,000","487,000","597,000","657,000","660,000","630,000","716,000","731,000","763,000","792,000","816,000","1,060,000","2,040,000","3,080,000","4,680,000","2,910,000","3,440,000","3,550,000","4,360,000","903,000"
Philippines,"1,760,00","2,050,000","2,220,000","2,150,000","2,170,000","1,990,000","1,800,000","1,930,000","1,910,000","2,290,000","2,620,000","2,840,000","3,090,000","3,140,000","3,020,000","3,520,000","3,920,000","4,270,000","4,680,000","4,830,000","5,360,000","5,970,000","6,620,000","7,170,000","8,260,000","1,480,000"
Singapore,"7,140,000","7,290,000","7,200,000","6,240,000","6,960,000","7,690,000","7,520,000","7,570,000","6,130,000","8,330,000","8,940,000","9,750,000","10,300,000","10,100,000","9,680,000","11,600,000","13,200,000","14,500,000","15,600,000","15,100,000","15,200,000","16,400,000","17,400,000","18,500,000","19,100,000","2,740,000"
South Korea,"3,750,000","3,680,000","3,910,000","4,250,000","4,660,000","5,320,000","5,150,000","5,350,000","4,750,000","5,820,000","6,020,000","6,160,000","6,450,000","6,890,000","7,820,000","8,800,000","9,790,000","11,100,000","12,200,000","14,200,000","13,200,000","17,200,000","13,300,000","15,300,000","17,500,000","2,520,000"
Thailand,"6,950,000","7,240,000","7,290,000","7,840,000","8,650,000","9,580,000","10,100,000","10,900,000","10,100,000","11,700,000","11,600,000","13,800,000","14,500,000","14,600,000","14,200,000","15,900,000","19,200,000","22,400,000","26,500,000","24,800,000","29,900,000","32,500,000","35,600,000","38,200,000","39,900,000","6,700,000"
Vietnam,"1,350,000","1,610,000","1,720,000","1,520,000","1,780,000","2,140,000","2,330,000","2,630,000","2,430,000","2,930,000","3,480,000","3,580,000","4,230,000","4,240,000","3,750,000","5,050,000","6,010,000","6,850,000","7,570,000","7,870,000","7,940,000","10,000,000","12,900,000","15,500,000","18,000,000","3,840,000"
