Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,2.20E+05,2.60E+05,2.19E+05,2.87E+05,3.68E+05,4.66E+05,6.05E+05,7.87E+05,7.01E+05,1.05E+06,1.42E+06,1.70E+06,2.02E+06,2.13E+06,2.16E+06,2.51E+06,2.88E+06,3.58E+06,4.21E+06,4.50E+06,4.78E+05,5.01E+06,5.60E+06,6.20E+06,6.61E+06,1.31E+06
China,4.64E+07,5.11E+07,5.76E+07,6.35E+07,7.28E+07,8.34E+07,8.90E+07,9.79E+07,9.17E+07,1.09E+08,1.20E+08,1.25E+08,1.32E+08,1.30E+08,1.26E+08,1.34E+08,1.35E+08,1.32E+08,1.29E+08,1.28E+08,1.34E+08,1.42E+08,1.53E+08,1.59E+08,1.63E+08,3.04E+07
"Hong Kong, China",1.02E+07,1.30E+07,1.13E+07,1.02E+07,1.13E+07,1.31E+07,1.37E+07,1.66E+07,1.55E+07,2.18E+07,2.34E+07,2.53E+07,2.82E+07,2.95E+07,2.96E+07,3.60E+07,4.19E+07,4.86E+07,5.43E+07,6.08E+07,5.93E+07,5.67E+07,5.85E+07,6.51E+07,5.59E+07,3.57E+06
Indonesia,4.32E+06,5.03E+06,5.18E+06,4.61E+06,4.73E+06,5.06E+06,5.15E+06,5.03E+06,4.47E+06,5.32E+06,5.00E+06,4.87E+06,5.51E+06,6.23E+06,6.32E+06,7.00E+06,7.65E+06,8.04E+06,8.80E+06,9.44E+06,1.04E+07,1.15E+07,1.40E+07,1.58E+07,1.61E+07,4.05E+06
Japan,3.35E+06,3.84E+06,4.22E+06,4.11E+06,4.44E+06,4.76E+06,4.77E+06,5.24E+06,5.21E+06,6.14E+06,6.73E+06,7.33E+06,8.35E+06,8.35E+06,6.79E+06,8.61E+06,6.22E+06,8.36E+06,1.04E+07,1.34E+07,1.97E+07,2.40E+07,2.87E+07,3.12E+07,3.19E+07,4.12E+06
Laos,3.46E+05,4.03E+05,4.63E+05,5.00E+05,6.14E+05,7.37E+05,6.74E+05,7.36E+05,6.36E+05,8.95E+05,1.09E+06,1.22E+06,1.62E+06,1.74E+06,2.01E+06,2.51E+06,2.72E+06,3.33E+06,3.78E+06,4.16E+06,4.68E+06,4.24E+06,3.87E+06,4.19E+06,4.79E+06,8.86E+05
"Macao, China",7.75E+06,8.15E+06,7.00E+06,6.95E+06,7.44E+06,9.16E+06,1.03E+07,1.15E+07,1.19E+07,1.67E+07,1.87E+07,2.20E+07,2.70E+07,2.29E+07,2.18E+07,2.50E+07,2.80E+07,2.81E+07,2.93E+07,3.15E+07,3.07E+07,3.09E+07,3.26E+07,3.58E+07,3.94E+07,5.90E+06
Malaysia,7.47E+06,7.14E+06,6.21E+06,5.55E+06,7.93E+06,1.02E+07,1.28E+07,1.33E+07,1.06E+07,1.57E+07,1.64E+07,1.75E+07,2.10E+07,2.21E+07,2.36E+07,2.46E+07,2.47E+07,2.50E+07,2.57E+07,2.74E+07,2.57E+07,2.68E+07,2.59E+07,2.58E+07,2.61E+07,4.33E+06
Mongolia,1.08E+05,7.10E+04,8.20E+04,1.97E+05,1.60E+05,1.58E+05,1.92E+05,2.35E+05,2.05E+05,3.05E+05,3.45E+05,4.08E+05,4.55E+05,4.69E+05,4.65E+05,5.57E+05,6.27E+05,6.24E+05,5.15E+05,5.06E+05,4.67E+05,4.71E+05,5.43E+05,5.98E+05,6.37E+05,6.69E+04
Myanmar,1.94E+05,4.90E+05,4.91E+05,4.78E+05,4.35E+05,4.16E+05,4.75E+05,4.87E+05,5.97E+05,6.57E+05,6.60E+05,6.30E+05,7.16E+05,7.31E+05,7.63E+05,7.92E+05,8.16E+05,1.06E+06,2.04E+06,3.08E+06,4.68E+06,2.91E+06,3.44E+06,3.55E+06,4.36E+06,9.03E+05
Philippines,1.76E+06,2.05E+06,2.22E+06,2.15E+06,2.17E+06,1.99E+06,1.80E+06,1.93E+06,1.91E+06,2.29E+06,2.62E+06,2.84E+06,3.09E+06,3.14E+06,3.02E+06,3.52E+06,3.92E+06,4.27E+06,4.68E+06,4.83E+06,5.36E+06,5.97E+06,6.62E+06,7.17E+06,8.26E+06,1.48E+06
Singapore,7.14E+06,7.29E+06,7.20E+06,6.24E+06,6.96E+06,7.69E+06,7.52E+06,7.57E+06,6.13E+06,8.33E+06,8.94E+06,9.75E+06,1.03E+07,1.01E+07,9.68E+06,1.16E+07,1.32E+07,1.45E+07,1.56E+07,1.51E+07,1.52E+07,1.64E+07,1.74E+07,1.85E+07,1.91E+07,2.74E+06
