Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Japan,3.35E+06,3.84E+06,4.22E+06,4.11E+06,4.44E+06,4.76E+06,4.77E+06,5.24E+06,5.21E+06,6.14E+06,6.73E+06,7.33E+06,8.35E+06,8.35E+06,6.79E+06,8.61E+06,6.22E+06,8.36E+06,1.04E+07,1.34E+07,1.97E+07,2.40E+07,2.87E+07,3.12E+07,3.19E+07
China,4.64E+07,5.11E+07,5.76E+07,6.35E+07,7.28E+07,8.34E+07,8.90E+07,9.79E+07,9.17E+07,1.09E+08,1.20E+08,1.25E+08,1.32E+08,1.30E+08,1.26E+08,1.34E+08,1.35E+08,1.32E+08,1.29E+08,1.28E+08,1.34E+08,1.42E+08,1.53E+08,1.59E+08,1.63E+08
"Hong Kong, China",1.02E+07,1.30E+07,1.13E+07,1.02E+07,1.13E+07,1.31E+07,1.37E+07,1.66E+07,1.55E+07,2.18E+07,2.34E+07,2.53E+07,2.82E+07,2.95E+07,2.96E+07,3.60E+07,4.19E+07,4.86E+07,5.43E+07,6.08E+07,5.93E+07,5.67E+07,5.85E+07,6.51E+07,5.59E+07
Indonesia,4.32E+06,5.03E+06,5.18E+06,4.61E+06,4.73E+06,5.06E+06,5.15E+06,5.03E+06,4.47E+06,5.32E+06,5.00E+06,4.87E+06,5.51E+06,6.23E+06,6.32E+06,7.00E+06,7.65E+06,8.04E+06,8.80E+06,9.44E+06,1.04E+07,1.15E+07,1.40E+07,1.58E+07,1.61E+07
"Macao, China",7.75E+06,8.15E+06,7.00E+06,6.95E+06,7.44E+06,9.16E+06,1.03E+07,1.15E+07,1.19E+07,1.67E+07,1.87E+07,2.20E+07,2.70E+07,2.29E+07,2.18E+07,2.50E+07,2.80E+07,2.81E+07,2.93E+07,3.15E+07,3.07E+07,3.09E+07,3.26E+07,3.58E+07,3.94E+07
Malaysia,7.47E+06,7.14E+06,6.21E+06,5.55E+06,7.93E+06,1.02E+07,1.28E+07,1.33E+07,1.06E+07,1.57E+07,1.64E+07,1.75E+07,2.10E+07,2.21E+07,2.36E+07,2.46E+07,2.47E+07,2.50E+07,2.57E+07,2.74E+07,2.57E+07,2.68E+07,2.59E+07,2.58E+07,2.61E+07
Singapore,7.14E+06,7.29E+06,7.20E+06,6.24E+06,6.96E+06,7.69E+06,7.52E+06,7.57E+06,6.13E+06,8.33E+06,8.94E+06,9.75E+06,1.03E+07,1.01E+07,9.68E+06,1.16E+07,1.32E+07,1.45E+07,1.56E+07,1.51E+07,1.52E+07,1.64E+07,1.74E+07,1.85E+07,1.91E+07
South Korea,3.75E+06,3.68E+06,3.91E+06,4.25E+06,4.66E+06,5.32E+06,5.15E+06,5.35E+06,4.75E+06,5.82E+06,6.02E+06,6.16E+06,6.45E+06,6.89E+06,7.82E+06,8.80E+06,9.79E+06,1.11E+07,1.22E+07,1.42E+07,1.32E+07,1.72E+07,1.33E+07,1.53E+07,1.75E+07
Thailand,6.95E+06,7.24E+06,7.29E+06,7.84E+06,8.65E+06,9.58E+06,1.01E+07,1.09E+07,1.01E+07,1.17E+07,1.16E+07,1.38E+07,1.45E+07,1.46E+07,1.42E+07,1.59E+07,1.92E+07,2.24E+07,2.65E+07,2.48E+07,2.99E+07,3.25E+07,3.56E+07,3.82E+07,3.99E+07
Vietnam,1.35E+06,1.61E+06,1.72E+06,1.52E+06,1.78E+06,2.14E+06,2.33E+06,2.63E+06,2.43E+06,2.93E+06,3.48E+06,3.58E+06,4.23E+06,4.24E+06,3.75E+06,5.05E+06,6.01E+06,6.85E+06,7.57E+06,7.87E+06,7.94E+06,1.00E+07,1.29E+07,1.55E+07,1.80E+07
