Location,Location Type,Latitude (° N),Longitude (° E),Summarized Coord.
Tokyo,City,35.6764,139.65,"35.6764° N, 139.6500° E"
Kyoto,City,35.0116,135.7681,"35.0116° N, 135.7681° E"
Osaka,City,34.6937,135.5023,"34.6937° N, 135.5023° E"
Nagoya,City,35.1815,136.9066,"35.1815° N, 136.9066° E"
Sapporo,Natural,43.0618,141.3545,"43.0618° N, 141.3545° E"
Yokohama,City,35.4437,139.638,"35.4437° N, 139.6380° E"
Fukuoka,City,33.5902,130.4017,"33.5902° N, 130.4017° E"
Chiba,City,35.6074,140.1065,"35.6074° N, 140.1065° E"
Mt. Fuji,Natural,35.3606,138.7274,"35.3606° N, 138.7274° E"
Karuizawa,Natural,36.3484,138.597,"36.3484° N, 138.5970° E"
Hakuba Valley,Natural,36.6982,137.8619,"36.6982° N, 137.8619° E"
Nara,City,34.6851,135.8048,"34.6851° N, 135.8048° E"
Hakone,City,35.2338,139.1088,"35.2338° N, 139.1088° E"
Hiroshima,City,34.3853,132.4553,"34.3853° N, 132.4553° E"
Nagasaki,City,32.7503,129.8779,"32.7503° N, 129.8779° E"
