,Purpose of Visit,Year,Visitor Arrivals,Growth Rate(%)
China,Business,1992,"48,563",
China,Business,1993,"58,232",19.91021972
China,Business,1994,"56,485",-3.000068691
China,Business,1995,"59,859",5.973267239
China,Business,1996,"63,351",5.833709217
China,Business,1997,"68,800",8.601284905
China,Business,1998,"66,417",-3.463662791
China,Business,1999,"67,204",1.184937591
China,Business,2000,"77,429",15.21486816
China,Business,2001,"74,309",-4.029497992
China,Business,2002,"91,189",22.71595634
China,Business,2003,"96,177",5.469957999
China,Business,2004,"141,204",46.81680651
China,Business,2005,"165,394",17.13124274
China,Business,2006,"192,484",16.37907058
China,Business,2007,"216,229",12.33609027
China,Business,2008,"208,759",-3.454670743
China,Business,2009,"181,976",-12.82962651
China,Business,2010,"230,597",26.71835847
China,Business,2011,"195,209",-15.34625342
China,Business,2012,"236,268",21.033354
China,Business,2013,"234,764",-0.636565256
China,Business,2014,"269,334",14.72542639
China,Business,2015,"333,988",24.0051386
China,Business,2016,"361,915",8.361677665
China,Business,2017,"366,917",1.38209248
China,Business,2018,"369,028",0.575334476
China,Business,2019,"373,404",1.185817878
China,Business,2020,"33,634",-90.99259783
China,Business,2021,"3,836",-88.59487423
China,Business,2022,"26,183",582.5599583
China,Business,2023,"219,105",736.8216018
China,Business,2024,"37,074",
China,Others,1992,"81,675",
China,Others,1993,"86,376",5.75573921
China,Others,1994,"91,197",5.581411503
China,Others,1995,"99,910",9.554042348
China,Others,1996,"112,376",12.47722951
China,Others,1997,"122,903",9.367658575
China,Others,1998,"134,425",9.374872867
China,Others,1999,"149,681",11.34907941
China,Others,2000,"173,303",15.78156212
China,Others,2001,"194,174",12.04306908
China,Others,2002,"220,573",13.59553802
China,Others,2003,"226,570",2.71882778
China,Others,2004,"254,453",12.30657192
China,Others,2005,"256,739",0.898397739
China,Others,2006,"296,173",15.3595675
China,Others,2007,"318,924",7.68165903
China,Others,2008,"335,929",5.331991321
China,Others,2009,"342,413",1.930169768
China,Others,2010,"350,626",2.398565475
China,Others,2011,"394,855",12.61429557
China,Others,2012,"359,626",-8.922009345
China,Others,2013,"374,936",4.257200536
China,Others,2014,"386,252",3.018115092
China,Others,2015,"421,781",9.198398973
China,Others,2016,"476,524",12.97901043
China,Others,2017,"541,161",13.56426959
China,Others,2018,"584,833",8.070056785
China,Others,2019,"645,490",10.37167875
China,Others,2020,"170,466",-73.59122527
China,Others,2021,"34,552",-79.73085542
China,Others,2022,"120,090",247.5630933
China,Others,2023,"406,329",238.3537347
China,Others,2024,"120,797",
China,Tourism,1992,"29,147",
China,Tourism,1993,"26,454",-9.239372834
China,Tourism,1994,"24,550",-7.197399259
China,Tourism,1995,"25,489",3.824847251
China,Tourism,1996,"29,291",14.91623838
China,Tourism,1997,"33,431",14.13403435
China,Tourism,1998,"35,616",6.53584996
China,Tourism,1999,"37,153",4.31547619
China,Tourism,2000,"45,270",21.84749549
China,Tourism,2001,"72,118",59.30638392
China,Tourism,2002,"101,299",40.46285255
China,Tourism,2003,"95,991",-5.239933267
China,Tourism,2004,"189,692",97.61435968
China,Tourism,2005,"201,940",6.456782574
China,Tourism,2006,"297,025",47.08576805
China,Tourism,2007,"407,286",37.1217911
China,Tourism,2008,"455,728",11.89385346
China,Tourism,2009,"481,696",5.69813573
China,Tourism,2010,"831,652",72.65080051
China,Tourism,2011,"453,182",-45.50821738
China,Tourism,2012,"829,206",82.97416932
China,Tourism,2013,"704,737",-15.01062462
China,Tourism,2014,"1,753,572",148.8264416
China,Tourism,2015,"4,237,920",141.6735669
China,Tourism,2016,"5,535,125",30.60947352
China,Tourism,2017,"6,447,740",16.48770353
China,Tourism,2018,"7,426,173",15.17482095
China,Tourism,2019,"8,575,500",15.47670651
China,Tourism,2020,"865,156",-89.91130546
China,Tourism,2021,"3,851",-99.55487796
China,Tourism,2022,"42,852","1,012.75"
China,Tourism,2023,"1,799,723","4,099.86"
China,Tourism,2024,"717,680",
China,Transit,1992,"23,835",
China,Transit,1993,"35,681",49.70002098
China,Transit,1994,"20,624",-42.1989294
China,Transit,1995,"35,457",71.92106284
China,Transit,1996,"36,507",2.961333446
China,Transit,1997,"35,493",-2.777549511
China,Transit,1998,"30,722",-13.44208717
China,Transit,1999,"40,899",33.12609856
China,Transit,2000,"55,786",36.39942297
China,Transit,2001,"50,783",-8.968199907
China,Transit,2002,"39,359",-22.49571707
China,Transit,2003,"30,044",-23.66675983
China,Transit,2004,"30,660",2.050326188
China,Transit,2005,"28,747",-6.23939987
China,Transit,2006,"25,993",-9.580130101
China,Transit,2007,,
China,Transit,2008,,
China,Transit,2009,,
China,Transit,2010,,
China,Transit,2011,,
China,Transit,2012,,
China,Transit,2013,,
China,Transit,2014,,
China,Transit,2015,,
China,Transit,2016,,
China,Transit,2017,,
China,Transit,2018,,
China,Transit,2019,,
China,Transit,2020,,
China,Transit,2021,,
China,Transit,2022,,
China,Transit,2023,,
China,Transit,2024,,
Hong Kong,Business,1992,"28,563",
Hong Kong,Business,1993,"25,855",-9.480796835
Hong Kong,Business,1994,"25,098",-2.92786695
Hong Kong,Business,1995,"23,559",-6.131962706
Hong Kong,Business,1996,"26,143",10.96820748
Hong Kong,Business,1997,"28,078",7.401598898
Hong Kong,Business,1998,"27,297",-2.781537147
Hong Kong,Business,1999,"27,895",2.190716929
Hong Kong,Business,2000,"29,819",6.897293422
Hong Kong,Business,2001,"27,699",-7.109561018
Hong Kong,Business,2002,"28,460",2.747391603
Hong Kong,Business,2003,"26,175",-8.028812368
Hong Kong,Business,2004,"24,205",-7.526265521
Hong Kong,Business,2005,"25,518",5.42449907
Hong Kong,Business,2006,"26,166",2.539383964
Hong Kong,Business,2007,"28,745",9.856302071
Hong Kong,Business,2008,"32,921",14.52774396
Hong Kong,Business,2009,"26,994",-18.00370584
Hong Kong,Business,2010,"30,949",14.65140402
Hong Kong,Business,2011,"26,708",-13.70318912
Hong Kong,Business,2012,"30,112",12.74524487
Hong Kong,Business,2013,"32,196",6.920828905
Hong Kong,Business,2014,"33,996",5.590756616
Hong Kong,Business,2015,"36,796",8.23626309
Hong Kong,Business,2016,"36,819",0.062506794
Hong Kong,Business,2017,"38,916",5.69542899
Hong Kong,Business,2018,"37,548",-3.515263645
Hong Kong,Business,2019,"37,852",0.80963034
Hong Kong,Business,2020,"4,512",-88.0798901
Hong Kong,Business,2021,237,-94.74734043
Hong Kong,Business,2022,"7,037","2,869.20"
Hong Kong,Business,2023,"20,216",187.281512
Hong Kong,Business,2024,"3,399",
Hong Kong,Others,1992,"5,684",
Hong Kong,Others,1993,"5,353",-5.823363828
Hong Kong,Others,1994,"4,536",-15.26246964
Hong Kong,Others,1995,"4,232",-6.701940035
Hong Kong,Others,1996,"4,053",-4.229678639
