Prefecture,Region,Visit Rate(%),Population (in millions)
Aichi,Chubu,5.7833,7.50
Akita,Tohoku,0.408,0.93
Aomori,Tohoku,0.9622,1.20
Chiba,Kanto,37.503,6.27
Ehime,Shikoku,0.3917,1.31
Fukui,Chubu,0.1808,0.75
Fukuoka,Kyushu,12.1737,5.12
Fukushima,Tohoku,0.4642,1.79
Gifu,Chubu,2.8664,1.95
Gunma,Kanto,0.5776,1.91
Hiroshima,Chugoku,4.3319,2.76
Hokkaido,Hokkaido,6.1266,5.14
Hyogo,Kansai,5.9305,5.40
Ibaraki,Kanto,0.6407,2.84
Ishikawa,Chubu,2.2345,1.12
Iwate,Tohoku,0.5362,1.18
Kagawa,Shikoku,0.8759,0.93
Kagoshima,Kyushu,0.6623,1.56
Kanagawa,Kanto,9.1024,9.23
Kochi,Shikoku,0.2675,0.68
Kumamoto,Kyushu,2.3204,1.72
Kyoto,Kansai,29.774,2.55
Mie,Kansai,0.7816,1.74
Miyagi,Tohoku,1.4068,2.28
Miyazaki,Kyushu,0.3989,1.05
Nagano,Chubu,2.6307,2.02
Nagasaki,Kyushu,1.2325,1.28
Nara,Kansai,7.7984,1.31
Niigata,Chubu,0.4594,2.15
Oita,Kyushu,4.4153,1.11
Okayama,Chugoku,1.0256,1.86
Okinawa,Okinawa,3.9163,1.47
Osaka,Kansai,39.5652,8.78
Saga,Kyushu,0.6234,0.80
Saitama,Kanto,1.0921,7.34
Shiga,Kansai,0.7358,1.41
Shimane,Chugoku,0.1638,0.66
Shizuoka,Chubu,2.6807,3.58
Tochigi,Kanto,1.3943,1.91
Tokushima,Shikoku,0.2405,0.70
Tokyo,Kanto,52.896,14.04
Tottori,Chugoku,0.2507,0.54
Toyama,Chubu,0.9759,1.02
Wakayama,Kansai,1.3855,0.90
Yamagata,Tohoku,0.5055,1.04
Yamaguchi,Chugoku,0.606,1.31
Yamanashi,Chubu,6.4304,0.80
