Prefecture,Region,Visit Rate(%),Population (in millions)
Aichi Prefecture,Chūbu,5.7833,7.50
Akita Prefecture,Tōhoku,0.408,0.93
Aomori Prefecture,Tōhoku,0.9622,1.20
Chiba Prefecture,Kantō,37.503,6.27
Ehime Prefecture,Shikoku,0.3917,1.31
Fukui Prefecture,Chūbu,0.1808,0.75
Fukuoka Prefecture,Kyūshū,12.1737,5.12
Fukushima Prefecture,Tōhoku,0.4642,1.79
Gifu Prefecture,Chūbu,2.8664,1.95
Gunma Prefecture,Kantō,0.5776,1.91
Hiroshima Prefecture,Chūgoku,4.3319,2.76
Hokkaido,Hokkaido,6.1266,5.14
Hyogo Prefecture,Kansai,5.9305,5.40
Ibaraki Prefecture,Kantō,0.6407,2.84
Ishikawa Prefecture,Chūbu,2.2345,1.12
Iwate Prefecture,Tōhoku,0.5362,1.18
Kagawa Prefecture,Shikoku,0.8759,0.93
Kagoshima prefecture,Kyūshū,0.6623,1.56
Kanagawa Prefecture,Kantō,9.1024,9.23
Kochi Prefecture,Shikoku,0.2675,0.68
Kumamoto Prefecture,Kyūshū,2.3204,1.72
Kyoto,Kansai,29.774,2.55
Mie Prefecture,Kansai,0.7816,1.74
Miyagi Prefecture,Tōhoku,1.4068,2.28
Miyazaki Prefecture,Kyūshū,0.3989,1.05
Nagano Prefecture,Chūbu,2.6307,2.02
Nagasaki Prefecture,Kyūshū,1.2325,1.28
Nara Prefecture,Kansai,7.7984,1.31
Niigata Prefecture,Chūbu,0.4594,2.15
Oita Prefecture,Kyūshū,4.4153,1.11
Okayama Prefecture,Chūgoku,1.0256,1.86
Okinawa Prefecture,Okinawa,3.9163,1.47
Osaka,Kansai,39.5652,8.78
Saga Prefecture,Kyūshū,0.6234,0.80
Saitama Prefecture,Kantō,1.0921,7.34
Shiga Prefecture,Kansai,0.7358,1.41
Shimane Prefecture,Chūgoku,0.1638,0.66
Shizuoka Prefecture,Chūbu,2.6807,3.58
Tochigi Prefecture,Kantō,1.3943,1.91
Tokushima Prefecture,Shikoku,0.2405,0.70
Tokyo,Kantō,52.896,14.04
Tottori Prefecture,Chūgoku,0.2507,0.54
Toyama Prefecture,Chūbu,0.9759,1.02
Wakayama Prefecture,Kansai,1.3855,0.90
Yamagata Prefecture,Tōhoku,0.5055,1.04
Yamaguchi Prefecture,Chūgoku,0.606,1.31
Yamanashi Prefecture,Chūbu,6.4304,0.80
